page,content
54,"54 Programm für Deutschland | Schule, Hochschule und Forschung
   8.2.3 Leistungsbereitschaft und Disziplin stärken            8.2.5 Duale berufliche Bildung stärken
                                                                und erhalten
     Leistungsbereitschaft und Disziplin sind Voraussetzung
   für eine erfolgreiche Wissensvermittlung. Die Erziehung        Die duale Ausbildung in Unternehmen und staatlichen
   der Schüler dazu ist in erster Linie Aufgabe der Eltern. Das Berufsschulen ist ein Erfolgsmodell. Jedoch gefährden das
   entsprechende Verhalten der Schüler kann nur durchgesetzt    Streben nach immer höheren Abiturienten- und Akademi-
   werden, wenn den Lehrern die dazu geeigneten Maßnahmen       kerquoten sowie unzureichende Kenntnisse von Haupt- und
   zur Verfügung stehen und deren Durchsetzung nicht ständig    Realschulabsolventen den Nachwuchs in den Ausbildungs-
   hinterfragt wird. Schulverweigerung, Null-Bock-Mentalität,   berufen. Zahlreiche Lehrstellen können aus Mangel an
   Disziplinlosigkeit, Mobbing und Gewalt in der Schule sind    ausreichend qualifizierten Bewerbern nicht besetzt werden.
   nicht zu tolerieren und unter Einbeziehung der Erziehungs-   Berufliche Fach- und Meisterschulen müssen als tragende
   berechtigten angemessen zu ahnden. Die Wahlfreiheit zwi-     Säulen der beruflichen Bildung und des lebenslangen Ler-
   schen Halbtags- und Ganztagsklassen muss erhalten bleiben.   nens erhalten und gestärkt werden.                            Die ideologisch motivierte
                                                                                                                              Inklusion „um jeden Preis“
                                                                                                                              lehnen wir ab.
   8.2.4 Politisch-ideologische Indoktrination                  8.2.6 Keine Inklusion um „jeden Preis”.                       Die AfD setzt sich für den
   darf es an der Schule nicht geben                            Förder- und Sonderschulen erhalten                            Erhalt der Förder- und
                                                                                                                              Sonderschulen ein.
     Das Klassenzimmer darf kein Ort der politischen Indoktri-    Die Behindertenrechtskonvention der Vereinten Nationen
   nation sein. An deutschen Schulen wird oft nicht die Bildung stellt unsere bewährten Förder- und Sonderschulen keines-
   einer eigenen Meinung gefördert, sondern die unkritische     wegs in Frage. Die Forderung, behinderten Kindern Teilhabe
   Übernahme ideologischer Vorgaben. Ziel der schulischen       am Bildungssystem zu garantieren, ist bereits umfassend
   Bildung muss jedoch der eigenverantwortlich denkende         und erfolgreich erfüllt. Die ideologisch motivierte Inklusion
   Bürger sein.                                                 „um jeden Preis“ verursacht erhebliche Kosten und hemmt
                                                                behinderte wie nicht behinderte Schüler in ihrem Lernerfolg.
     Eine einseitige Hervorhebung der Homo- und Transsexu-      Die AfD setzt sich deshalb für den Erhalt der Förder- und
   alität im Unterricht lehnen wir ebenso entschieden ab wie    Sonderschulen ein. Die Eltern sollen auch weiterhin das
   die ideologische Beeinflussung durch das „Gender-Mainstre-   Recht haben, ihre Kinder in diese Einrichtungen zu schicken.
   aming“. Das traditionelle Familienbild darf dadurch nicht
   zerstört werden. Unsere Kinder dürfen in der Schule nicht
   zum Spielball der sexuellen Neigungen einer lauten Minder-
   heit werden.
"
55,"55 Programm für Deutschland | Schule, Hochschule und Forschung
   8.2.7 Koranschulen schließen.                                    Viele der im Bereich des „Gender-Mainstreamings”
   Islamkunde in den Ethikunterricht integrieren                  vertretenen Ansichten widersprechen den Ergebnissen der
                                                                  Naturwissenschaft, der Entwicklungspsychologie und der
     Soweit ein bekenntnisorientierter islamischer Religionsun-
                                                                  Lebenserfahrung. Wir wenden uns daher gegen jede staatli-
   terricht stattfindet, fordern wir eine Islamkunde in deutscher
                                                                  che Förderung von „Gender-Studies“.
   Sprache für alle muslimischen Schüler. Die Lehrer sollten
   von verfassungstreuen Islamwissenschaftlern an deutschen
                                                                    Die Gender-Ideologie marginalisiert naturgegebene
   Universitäten ausgebildet werden, die nicht von islamischen
                                                                  Unterschiede zwischen den Geschlechtern und wirkt damit
   Verbänden beeinflusst sein dürfen. Solange der Islam keine
                                                                  traditionellen Wertvorstellungen und spezifischen Ge-
   echte Reformation durchlaufen hat, fordern wir die Schlie-
                                                                  schlechterrollen in den Familien entgegen. Das klassische
   ßung von Koranschulen wegen der unkontrollierbaren Ge-
                                                                  Rollenverständnis von Mann und Frau soll durch staatlich
   fahr einer radikalen verfassungsfeindlichen Indoktrination.
                                                                  geförderte Umerziehungsprogramme in Kindergärten und        Die AfD lehnt
                                                                  Schulen systematisch „korrigiert“ werden. Die AfD lehnt     Geschlechterquoten im
   8.2.8 Keine Sonderrechte für muslimische Schüler
                                                                  diese Geschlechterpädagogik als Eingriff in die natürliche  Studium oder in der
     Wir lehnen Sonderrechte für muslimische Schüler ab und                                                                   Arbeitswelt generell ab, da
                                                                  Entwicklung unserer Kinder und in das vom Grundgesetz
                                                                                                                              Quoten leistungsfeindlich
   fordern die Teilnahme am Sportunterricht und an Klas-          garantierte Elternrecht auf Erziehung ab.                   und ungerecht sind und
   senfahrten ohne Ausnahme. Muslimische Schüler und ihre                                                                     andere Benachteiligungen
   Eltern haben auch weibliche Lehrkräfte als Vertreter unserer     Ebenso fordert die AfD, keine Frühsexualisierung in       schaffen.
   Werte und unserer staatlichen Ordnung uneingeschränkt zu       Krippen, Kindergärten und an den Schulen zuzulassen und
   akzeptieren.                                                   die Verunsicherung der Kinder in Bezug auf ihre sexuelle
                                                                  Identität einzustellen.
   8.3 Nein zu „Gender-Mainstreaming”
   und Frühsexualisierung                                         8.3.1 Keine „geschlechterneutrale”
     Die Gender-Ideologie und die damit verbundene Frühse-        Umgestaltung der deutschen Sprache
   xualisierung, staatliche Ausgaben für pseudowissen-              Die deutsche Sprache wird abstrus umgestaltet, damit sich
   schaftliche „Gender-Studies“, Quotenregelungen und eine        die Geschlechteraufhebung auch im alltäglichen Sprachge-
   Verunstaltung der deutschen Sprache sind zu stoppen.           brauch wiederfindet. Die AfD lehnt die behördlich verord-
   Gleichberechtigung muss wieder Chancengleichheit bedeu-        neten geschlechterneutralen Worterfindungen als Eingriff
   ten.                                                           in die natürlich gewachsene Kultur und Tradition unserer
                                                                  Sprache ab.
"
56,"56 Programm für Deutschland | Schule, Hochschule und Forschung
   8.3.2 Geschlechterquoten sind
   leistungsfeindlich und ungerecht
     Die AfD lehnt Geschlechterquoten im Studium oder in der
   Arbeitswelt generell ab, da Quoten leistungsfeindlich und
   ungerecht sind und andere Benachteiligungen schaffen. Die
   AfD vertritt die Meinung, dass Quoten kein geeignetes Mittel
   zur Gleichberechtigung von Mann und Frau darstellen. Auch
   die Einrichtung spezieller Frauenstudiengänge lehnen wir
   ab. Die AfD unterstreicht stattdessen die grundrechtlich
   garantierte Gleichberechtigung von Mann und Frau (im Sin-
   ne von Chancengleichheit). Eine Gleichstellungspolitik im
   Sinne von Ergebnisgleichheit lehnt die AfD hingegen ab.
"
57," KAPITEL 9
Einwanderung,
Integration und Asyl
"
58,"58 Programm für Deutschland | Einwanderung, Integration und Asyl
   EINWANDERUNG,
   INTEGRATION UND ASYL
     Gerade beim politischen Thema Asyl und Einwanderung          Deutschland ist aufgrund seiner geografischen Lage,
   verantwortet ein ideologisch vergiftetes Klima der „politi- seiner Geschichte, Bevölkerung und dichten Besiedelung
   schen Korrektheit“ Sprachverbote und Sprachregelungen.      kein klassisches Einwanderungsland, erst recht nicht als Ziel
   Verstöße führen zu gesellschaftlicher Stigmatisierung,      einer Masseneinwanderung, wie wir sie im Jahre 2015 erlebt
   teilweise sogar zu beruflichen Nachteilen; diese Art von    haben.
   Umgang mit unangepassten Meinungen war in der Vergan-
   genheit Merkmal totalitärer Staaten, aber nicht von freien     Dennoch wandern seit Jahrzehnten Menschen nach
   Demokratien. Fehlentwicklungen im Asyl- und Einwande-       Deutschland ein. Damit ist es de facto ein Einwanderungs-
   rungsbereich sollen um eines befürchteten Umschwungs        land, ohne dass es dafür einen dementsprechenden Rechts-
   der öffentlichen Meinung willen nicht zur Sprache kommen;   rahmen gäbe. Kanada und Australien sind uns Vorbilder
   gleichzeitig soll vom völligen Versagen der Asyl- und Ein-  darin, wie Einwanderungsländer eine gesellschafts-, sozi-
   wanderungspolitik der vergangenen Jahre durch die herr-     al- und arbeitsmarktverträgliche Einwanderung regeln. Der
   schenden Parteien abgelenkt werden. Eine offene Diskussion  deutsche „Sonderweg“ hingegen führt bisher fast ausschließ-
   wird damit verhindert.                                      lich zu einer Einwanderung in die Sozialsysteme und den
                                                               Niedriglohnsektor, anstatt in den qualifizierten Arbeits-
     Das alles führt zu ungerechten Pauschalverdächtigun-      markt.
   gen gegenüber der Mehrzahl der rechtstreuen, integrierten
   ausländischen Mitbürger als auch der rechtstreuen Asyl-        Das will die AfD ändern: wir fordern einen Paradigmen-
   bewerber. Die AfD fordert daher das selbstverständliche     wechsel in der 1) Asylzuwanderung, 2) in der Handhabung
   Recht auf freie Rede für freie Bürger wieder ein. Niemand   der EU-Personenfreizügigkeit, 3) in der qualifizierten Zu-
   darf Angst haben, seine Meinung zur Einwanderungs- und      wanderung aus Drittstaaten sowie 4) bei der Integration von
   Asylpolitik zu sagen. Dem Grundrecht auf freie Meinungsäu-  Einwanderern dieser drei Kategorien.
   ßerung muss auch auf diesem Politikfeld wieder zur uneinge-
   schränkten Geltung verholfen werden.
"
59,"59 Programm für Deutschland | Einwanderung, Integration und Asyl
   9.1 Keine irreguläre Einwanderung über das Asylrecht          wirtschaftlichen und sozialen Wiederaufbau ihres Heimat-
                                                                 landes leisten. Ihre Rückkehr sollte durch ein internationales
   9.1.1 Asylzuwanderung - für einen Paradigmenwechsel
                                                                 Wiederaufbauprogramm unterstützt werden.
     Eine Völkerwanderung historischen Ausmaßes fordert Eu-
   ropa heraus. Im Hinblick auf Bevölkerungsexplosion, krie-       Die überkommene Politik der großzügigen Asylgewährung
   gerische und religiöse Konflikte und Klimaextreme in vielen   im Wissen um massenhaften Missbrauch führt nicht nur
   Ländern, insbesondere des afrikanischen Kontinents und        zu einer rasanten, unaufhaltsamen Besiedelung Europas,
   des Nahen und Mittleren Ostens, stehen wir erst am Anfang     insbesondere Deutschlands, durch Menschen aus anderen
                                                                                                                                Es ist notwendig,
   weltweiter, bislang unvorstellbarer Wanderungsbewegungen      Kulturen und Weltteilen. Sie ist auch für den Tod vieler       zwischen politisch Verfolgten
   in Richtung der wohlhabenden europäischen Staaten.            Menschen auf dem Mittelmeer verantwortlich. Die AfD will       und Kriegsflüchtlingen
                                                                 diese zynisch hingenommene Folge eines irregeleiteten Hu-      einerseits und irregulären
                                                                                                                                Migranten andererseits zu
     Die aktuelle deutsche und europäische Asyl- und Flücht-     manitarismus vermeiden und die daraus entstehende Gefahr       unterscheiden.
   lingspolitik kann deshalb so nicht weitergeführt werden.      sozialer und religiöser Unruhen sowie eines schleichenden
   Die unzutreffende Bezeichnung „Flüchtling“ für fast alle      Erlöschens der europäischen Kulturen abwenden.
   Menschen, die irregulär nach Deutschland einreisen, um
   hier dauerhaft zu bleiben, ist Ausdruck dieser verfehlten       Die gesamteuropäische Asylpolitik ist wegen des Bruchs
   Politik. Es ist demgegenüber notwendig, zwischen politisch    des Dublin-Abkommens durch südliche EU-Länder, zuletzt
   Verfolgten und (Kriegs-) Flüchtlingen, die unmittelbar vor    aber auch durch das Verschulden der deutschen Bundesre-
   ihrer Einreise echten, kriegsbedingten Gefahren ausgesetzt    gierung gescheitert. Die AfD setzt sich daher für eine voll-
   waren, einerseits und irregulären Migranten andererseits zu   ständige Schließung der EU-Außengrenzen ein und fordert
   unterscheiden. Echte Flüchtlinge will auch die AfD schüt-     den aus politischen und anderen Gründen flüchtenden
   zen, solange die Fluchtursache im Heimatland andauert.        Menschen folgende Option anzubieten:
   Irreguläre Migranten aber, die, anders als Flüchtlinge, nicht
   verfolgt werden, können keinen Flüchtlingsschutz beanspru-      In der Herkunftsregion von Flüchtlingsbewegungen, wie
   chen. Entfällt der Fluchtgrund durch Beendigung von Krieg,    z.B. Nordafrika, werden Schutz- und Asylzentren in sicheren
   politischer oder religiöser Verfolgung im Herkunftsland der   Staaten eingerichtet. Vorrangiges Ziel ist, solche Aufnah-
   Flüchtlinge, endet deren Aufenthaltserlaubnis. Die betroffe-  meeinrichtungen unter UN- oder EU-Mandat zu betreiben.
   nen Flüchtlinge müssen Deutschland wieder verlassen. Dazu     Anträge auf Schutz sollen danach nur noch dort gestellt
   soll Deutschland im Verbund mit den europäischen Part-        und entschieden werden. Antragsteller in Deutschland und
   nerländern Rückkehrhilfen gewähren. Es dient dem inneren      Europa sind ausnahmslos zur Rückkehr in diese Zentren zu
   und äußeren Frieden, wenn die in ihre Herkunftsländer         verpflichten.
   zurückkehrenden Flüchtlinge ihren Beitrag zum politischen,
"
60,"60 Programm für Deutschland | Einwanderung, Integration und Asyl
      Sollten sich solche Aufnahmeeinrichtungen nicht inner-      Die AfD will das individuelle Asylgrundrecht durch die
   halb überschaubarer Zeit international organisieren lassen,  grundgesetzliche Gewährleistung eines Asylgesetzes (institu-
   dann wird Deutschland eigenständig in sicheren Staaten       tionelle Garantie) ersetzen. Die Genfer Konvention von 1951
   geschützte Aufnahmeeinrichtungen nach ortsüblichem Stan-     und andere, veraltete supra- und internationale Abkommen
   dard und ortsüblicher Grundversorgung einrichten.            sind an die globalisierte Gegenwart mit ihren weltweiten
                                                                Massenmigrationen anzupassen. Das Asylrecht darf nicht
      Dazu müssen Staaten gefunden werden, die vertraglich      länger als ein Vehikel der Masseneinwanderung missbraucht
   den Betrieb einer Aufnahmeeinrichtung auf dem Botschafts-    werden.
   gelände oder einer sonstigen Liegenschaft ermöglichen, wie     Die Entscheider des Bundesamts für Migration und
   es dem „australischen Modell“ entspricht. In diesen regiona- Flüchtlinge mussten seit Ende 2014 die Pauschalanerken-
   len Aufnahmeeinrichtungen werden Außenstellen des BAMF       nung ganzer Volksgruppen vornehmen, anstatt Einzel-
   sowie der Verwaltungsgerichtsbarkeit angesiedelt, die für    entscheidungen zu treffen. Nachprüfungen von Identität,
   die Durchführung des Asyl- und Rechtsmittelverfahrens für    Herkunft, Staatsangehörigkeit usw. fanden nicht statt, was
   Asylsuchende aus der Region die Alleinzuständigkeit erhal-   zum Missbrauch geradezu einlädt. Die Entscheider müssen
   ten.                                                         wieder unabhängig von Weisungen werden, wie dies bis
                                                                2002 der Fall war. Nur so lässt sich ihre politische Inst-
                                                                                                                             An allen deutschen Grenzen,
      Schutzsuchende aus diesen Regionen, die in Deutschland    rumentalisierung zur Steuerung der Anerkennungsquote         an denen derzeit (noch)
   eintreffen und hier ihre Anträge stellen, werden ausnahms-   verhindern.                                                  ungeregelte Einwande-
   los zur Durchführung des Asylverfahrens zur zuständigen        Auch die Lebensbedingungen in heimatnahen Flücht-          rung stattfindet, sind strenge
                                                                                                                             Personenkontrollen
   Aufnahmeeinrichtung in der Herkunftsregion begleitet.        lingslagern in Folge von Kriegen müssen auf einem Niveau
                                                                                                                             einzuführen, um illegale
      Nach Anerkennung eines Schutzgrundes wird ihnen die       gehalten werden, das eine Weiterwanderung überflüssig        Grenzübertritte zu
   sichere Reise nach Deutschland ermöglicht.                   macht. Mit einem Bruchteil der Finanzmittel, die wir für die verhindern.
                                                                Bewältigung der irregulären Migration im Inland aufwenden
      An allen deutschen Grenzübergängen, an denen eine         müssen, können wir ungleich mehr Menschen vor Ort hel-
   ungeregelte Einwanderung stattfindet, sind strenge Perso-    fen, und den Auswanderungsdruck dort vermindern.
   nenkontrollen einzuführen, um illegale Grenzübertritte zu
   verhindern. Solange es weltweite Wanderungsbewegungen
   in Richtung Deutschland gibt und solange die Dysfunktiona-   9.1.2 Rückführung - Schluss mit
   lität der europäischen Grenzsicherung andauert, befürwor-    Fehlanreizen und falscher Nachsicht
   ten wir Sicherungsmaßnahmen an den deutschen Grenzen
                                                                  Der wichtigste (Fehl-)Anreiz, über das Asylrecht in das
   zur Verhinderung jeder unkontrollierten Einwanderung.
                                                                deutsche Sozialsystem einzuwandern, ist bereits seit Jahr-
   Dies schließt die Bewachung der „grünen Grenze“ ein.
                                                                zehnten die fehlende Durchsetzung der Ausreisepflicht
"
61,"61 Programm für Deutschland | Einwanderung, Integration und Asyl
   gegenüber Ausländern, die unter keinem Gesichtspunkt         denn als „Belohnung“ für langjährige Verweigerungshaltung
   bleibeberechtigt sind.                                       konterkarieren sie diese Absicht.
      Rückführungen in die Herkunftsländer werden auf man-        Eine freiwillige Ausreise ist besser als eine Abschiebung.
   nigfache Weise sabotiert. Daran beteiligt sind die Ausrei-   Gerade wer aus rein wirtschaftlichen Motiven Asyl in
   sepflichtigen, inländische Helfer und teilweise auch die     Deutschland beantragt hat, kann – ggf. durch Gewährung
   Herkunftsländer. Kampagnen der Einwanderungslobby            einmaliger Starthilfe - zur freiwilligen Rückkehr bewogen
   und Medien zielen auf immer neue Bleiberechte. Landesre-     werden.
   gierungen halten sich häufig nicht an das Bundes-Abschie-
   berecht, verschleppen seine Durchsetzung und setzen es         Die AfD bekennt sich dazu, ökonomische Fluchtursachen
   vielfach praktisch außer Kraft.                              zu vermeiden, auch wenn dies für die westliche Wirtschaft
                                                                zunächst Nachteile mit sich bringen könnte. Dazu gehört
      Die AfD will diese Missachtung des Rechtsstaats beenden.  beispielsweise ein Exportstopp für hochsubventionierte
   Sie fordert, das Abschieberecht zu ertüchtigen, zu vereinfa- landwirtschaftliche Erzeugnisse nach Afrika, die dort die
   chen und es konsequent anzuwenden; wo dies nicht ge-         lokalen Märkte ruinieren und den Menschen ihre Lebens-
   schieht, hat die Rechts-und Fachaufsicht des Bundes sofort   grundlage nehmen. Dasselbe gilt für den Export von Waffen,
   einzugreifen. Die Ausländerbehörden müssen auf die unein-    Altkleidern, Giftmüll und andere westliche Abfallprodukte
   geschränkte Rückendeckung der Politik vertrauen können.      sowie für die EU-Fischerei vor den afrikanischen Küsten.
   Alle rechtskräftig abgelehnten Asylbewerber sind unverzüg-
   lich außer Landes zu bringen, sofern sie nicht entsprechende 9.2 Einwanderung aus EU-Staaten
   Ausreiseaufforderungen freiwillig befolgen. Gewährung
                                                                  Das europäische Freizügigkeitsrecht hat in seiner Aus-
   oder Streichung von Entwicklungshilfe und die Visapolitik
                                                                prägung der Personenfreizügigkeit zu massiven Wande-
   müssen zum Hebel für die Kooperationsbereitschaft der
                                                                rungsbewegungen innerhalb der EU aus den ärmeren in die
   Herkunftsstaaten bei der Rücknahme ihrer Staatsangehöri-
                                                                reicheren Staaten, besonders nach Deutschland, allein zum
   gen werden.
                                                                Zweck des Sozialhilfebezugs geführt. Zwar sieht das deutsche
                                                                Recht - in Einklang mit der Freizügigkeitsrichtlinie - gewisse
      Vollziehbar ausreisepflichtigen Ausländern dürfen nicht
                                                                Einschränkungen der Ansprüche auf Sozialleistungen vor;
   gleichzeitig Anreize zum Bleiben gegeben werden. Unter
                                                                allerdings sind diese nicht ausreichend, um den Missbrauch
   anderem ist ihre Sozialhilfe dauerhaft auf ein rechtlich
                                                                des großzügigen deutschen Sozialsystems durchgreifend zu
   zulässiges Minimum in Sachleistungen zurückzuführen. Ob-
                                                                verhindern. Die Praxis bietet viele Möglichkeiten der Um-
   struktionen bei der zur Rückführung erforderlichen Passbe-
                                                                gehung und des Unterlaufens der schwach ausgeprägten
   schaffung und Täuschungen der Behörden sind zu ahnden.
                                                                rechtlichen Sicherungen.
   Altfall- und Bleiberechtsregelungen wollen wir streichen,
                                                                  Die AfD fordert deshalb eine umfassende und durchgrei-
"
62,"62 Programm für Deutschland | Einwanderung, Integration und Asyl
   fende Neuausrichtung des europäischen Rechts mit dem Ziel       Die Versorgung unseres Landes mit qualifizierten Arbeits-
   der Wiedergewinnung nationaler Handlungsmöglichkeiten        kräften muss in erster Linie über die vollständige Erschlie-
   zur Beendigung des massenhaften Missbrauchs von Rech-        ßung der einheimischen Potentiale erfolgen. Hierzu zählen
   ten, die mit der europäischen Freizügigkeit einhergehen.     eine umfassende Aus- und Weiterbildung, die Integration
   Sollte dies keine Wirkung entfalten, dann fordern wir, die   von immer noch Millionen zählenden Arbeitslosen in den
   EU-Personenfreizügigkeit dahingehend einzuschränken,         Arbeitsmarkt und die Beendigung der Diskriminierung von
   dass dem aufnehmenden Staat eine kontrollierte Steuerung     älteren Arbeitnehmern und von Alleinerziehenden. Teilweise
   der EU-Zuwanderung durch Arbeitnehmer und Familienan-        kann die legale Zuwanderung aus EU-Staaten dazu beitra-
   gehörige möglich ist.                                        gen.
      Mit Priorität fordert die AfD, allen EU-Ländern die Mög-     Auch die fortgesetzte Auswanderung inländischer Hoch-      Wir befürworten eine
   lichkeit zu eröffnen, den Anspruch auf steuerfinanzierte So- qualifizierter muss reduziert und die bereits Ausgewanderten  maßvolle legale
   zialleistungen für EU-Bürger und ihre Familienangehörigen    müssen zur Rückkehr ermutigt werden. Die Anwerbung in         Einwanderung aus
                                                                                                                              Drittstaaten nach qualita-
   von einer vierjährigen, versicherungspflichtigen Beschäfti-  Drittländern kommt erst dann zum Zuge, wenn zuvor sämt-
                                                                                                                              tiven Kriterien. Im Vor-
   gung ohne staatliche Zuschüsse abhängig zu machen. Die       liche dieser Möglichkeiten zur Arbeitskräftegewinnung und     dergrund stehen dabei die
   direkte Einwanderung in die Sozialsysteme muss verhindert    -qualifizierung genutzt wurden. Die gesteuerte Einwande-      Interessen Deutschlands als
   werden. Gegenstehendes europäisches Recht muss entspre-      rung aus Drittstaaten ist jedoch kein Weg, um die demogra-    Sozialstaat, Wirtschafts-
                                                                                                                              und Kulturnation.
   chend geändert werden.                                       fische Krise zu lösen. Die ungesteuerte, überwiegend illegale
                                                                Zuwanderung von Unqualifizierten auf dem Umweg der
   9.3 Gesteuerte Einwanderung aus Drittstaaten                 Asylantragstellung steigert das Fachkräftepotential nicht.
      Wir setzen uns für eine maßvolle legale Einwanderung
                                                                   Deutschland steht mit anderen Hochtechnologienationen
   nach qualitativen Kriterien ein, soweit ein unabweisbarer
                                                                in einer Konkurrenz um die Gewinnung wirklich qualifi-
   Bedarf weder durch einheimische Potentiale noch durch
                                                                zierter Zuwanderer. Das rechtliche Instrumentarium, um in
   Zuwanderung aus der EU gedeckt werden kann. Im Vor-
                                                                diesem Wettstreit bestehen zu können, bedarf einer durch-
   dergrund stehen die Interessen Deutschlands als Sozial-
                                                                greifenden Überarbeitung. Vorbild hierfür könnte ein auf
   staat, Wirtschafts- und Kulturnation. Für den Arbeitsmarkt
                                                                deutsche Verhältnisse angepasstes „kanadisches Modell“
   qualifizierte Einwanderer mit hoher Integrationsbereitschaft
                                                                sein. Es muss in erster Linie auf Einwanderungswillige aus
   sind uns willkommen. Die langjährigen Erfahrungen anderer
                                                                dem Ausland Anwendung finden. Nur in Einzelfällen soll-
   westlicher Einwanderungsländer müssen wir uns zu Nutze
                                                                te es auch schon in Deutschland befindlichen Ausländern
   machen. Davon strikt zu trennen ist die ungeregelte Asylzu-
                                                                ohne Daueraufenthaltsberechtigung offen stehen, wie zum
   wanderung, die dem Wirtschaftsstandort Deutschland nicht
                                                                Beispiel Ausländern aus Drittstaaten, die in Deutschland ein
   nutzt und der Gesellschaft schadet.
                                                                Studium absolviert haben.
"
63,"63 Programm für Deutschland | Einwanderung, Integration und Asyl
     Für eine Einwanderung in diesem Sinne müssen vor der         künftig Bedingung sein. Der Daueraufenthalt setzt gelunge-
   Einreise die Integrationsfähigkeit, die Qualifikation, Sprach- ne Integration voraus. Wer sich der Integration verweigert,
   kenntnisse und ein Arbeitsplatzangebot ausschlaggebend         muss sanktioniert werden und letztendlich auch sein Aufent-
   sein.                                                          haltsrecht verlieren können.
     Über Qualität und Quantität der Einwanderung selbst zu          Der hohe Standard unseres Bildungssystems ist der
   bestimmen, ist herausragendes Merkmal staatlicher Sou-         wichtigste Grund für die Stellung Deutschlands als eine der
   veränität; das muss uneingeschränkt auch für Deutschland       führenden Wirtschaftsnationen. Eine Absenkung der schu-
   gelten.                                                        lischen und beruflichen Anforderungen aus Gründen einer       Jeder Einwanderer hat eine
                                                                                                                                unabdingbare Bringschuld,
                                                                  vermeintlich besseren Integration darf es nicht geben.        sich zu integrieren; er muss
   9.4 Integration - Mehr als nur Deutsch lernen                                                                                sich seiner neuen Heimat
                                                                  9.5 Kosten der Einwanderung -                                 anpassen, nicht umgekehrt.
     Die multikulturelle Gesellschaft ist gescheitert. Um mit                                                                   Wer sich der Integration
                                                                  Transparenz herstellen
   Einwanderern in der Zukunft friedlich zusammenleben zu                                                                       verweigert, muss sanktioniert
   können, ist deren Integration unerlässlich. Nur so lässt sich     Einwanderung in die sozialen Systeme ist Alltag. Beispiele werden und letztendlich auch
                                                                                                                                sein Aufenthaltsrecht
   auch das weitere Vordringen von Gegen- und Parallelgesell-     liefert die Rechts- und Lebenswirklichkeit aller Zu- und Ein-
                                                                                                                                verlieren können.
   schaften in unserem Land verhindern.                           wanderungsgruppen. Angebliche Sicherungsmechanismen
                                                                  entpuppen sich als wirkungslos, als von der Rechtsprechung
     Gelingende Integration fordert von Einwanderern jeden        außer Kraft gesetzt, durch EU-Recht relativiert oder als äu-
   Alters nach einer angemessenen Zeit die Beherrschung der       ßerst betrugsanfällig.
   deutschen Sprache in Wort und Schrift, die Achtung und
   gelebte Bejahung unserer Rechts- und Gesellschaftsordnung         Niedrigqualifizierte wandern überwiegend über miss-
   sowie den Verdienst des eigenen Lebensunterhalts. Assi-        bräuchliche Asylanträge zu und sind auf die steuerfinanzier-
   milation als weitestgehende Form der Integration ist zwar      ten sozialen Sicherungssysteme angewiesen. Qualifizierte
   anzustreben, aber nicht erzwingbar.                            Einwanderer bevorzugen Staaten mit geringer Steuerlast.
     Jeder Einwanderer hat eine unabdingbare Bringschuld,            Ausnahmslos jeder Asylantragsteller wandert in das sozia-
   sich zu integrieren; er muss sich seiner neuen Heimat an-      le System ein, da ihm ab Grenzübertritt Leistungsansprüche
   passen, nicht umgekehrt. Eine fortgesetzte Zuwanderung         zustehen. Nach seiner Anerkennung gilt dasselbe für nach-
   von Menschen mit denkbar schlechten Integrationsaus-           ziehende Familienmitglieder. Die AfD fordert, die schran-
   sichten verschärft die bestehenden Probleme und ist daher      kenlosen Möglichkeiten des Familiennachzugs für anerkann-
   unverantwortlich. Gute Integrationsaussichten müssen für       te Asylbewerber zu beenden, weil dies sonst einen direkten
   eine Einreise mit der Absicht eines dauerhaften Aufenthalts    und dauerhaften Nachzug in das soziale Netz ermöglicht.
"
