text,page
"Europa und Euro   43
",43
,44
"KAPITEL 3




Innere Sicherheit
und Justiz
",45
"46   Innere Sicherheit und Justiz




     INNERE SICHERHEIT UND JUSTIZ

     Wir wollen den Rechtsstaat stärken und dem Recht wieder
     zur Durchsetzung verhelfen. Erstens müssen sich die Bür-
     ger auf das Recht und ihr Recht verlassen können. Zwei-
     tens müssen sich die Organe und Institutionen des Staats
     wieder an das Recht halten. Vor einem Staat, der das Recht
     mit Füßen tritt, sind auch die Bürger nicht sicher.

     Die Einhaltung des Rechts ist die Grundvoraussetzung
     für die Gewährleistung der Inneren Sicherheit. Sie ist eine
     Kernaufgabe unseres Staates. Sie garantiert ein friedliches
     Zusammenleben der Menschen in einer offenen und freien
     Gesellschaft, unabhängig von ihrer Herkunft und Religion.
     Sie ist Voraussetzung für unsere Freiheit, für Wohlstand
     und Demokratie.
",46
"                           Innere Sicherheit und Justiz       47




Die Innere Sicherheit in Deutschland nimmt immer mehr
ab. Die Ursachen hierfür sind vielfältig. Um die Lage zu
verbessern, sind Veränderungen bei Polizei und Justiz
erforderlich. Auch sind deren Eingriffsmöglichkeiten an
die Herausforderungen anzupassen sowie nicht zuletzt
diejenigen Ursachen zu bekämpfen, die zu erhöhter Krimi-
nalitätsbelastung geführt haben und voraussichtlich auch
weiter führen werden.

Die AfD fordert daher einen „sicherheitspolitischen Befrei-
ungsschlag“, um den Schutz der Bürger an erste Stelle zu
setzen. Andere Belange haben sich dem unterzuordnen.
Wir wollen einen klaren Systemwechsel hin zu Behörden,
die zum maximalen Schutz der Bürger in der Lage sind:
Ausländerbehörden, Polizei und Strafverfolgung. Wir
wollen den Sicherheitsbehörden bessere und moderne
Vorschriften geben.
",47
"               48            Innere Sicherheit und Justiz




                             3.1 Polizei stärken und Strafjustiz verbessern

                             Die Polizei ist ausgezehrt: Jahrelange so genannte „Poli-
                             zeireformen“ haben zu einem deutlichen Personalabbau
                             geführt. Dies führte in allen Bereichen zu unzumutbaren
                             und unverantwortlichen Mangelsituationen. Daher sind,
                             um sie zu beheben, die Stellenpläne im erforderlichen Maß
                             aufzustocken und die Ausrüstung auf den modernsten
                             Stand zu bringen. Vor allem im IT-Bereich sollten in Bund
                             und Ländern einheitliche Standards gelten. Zur besseren
                             Evaluierung ist eine Kriminalstatistik ohne politische
                             Vorgaben als möglichst getreues Abbild der Realität zu
                             erstellen und durch eine Dunkelfeldstudie zu ergänzen.

Wir wollen die Polizei       Die AfD setzt sich für eine schnelle Verbesserung der Justi-
und Justiz stärken, um sie
in die Lage zu versetzen,    zorganisation, für eine Wiederherstellung unseres Rechts-
Verbrechen effektiver zu     systems und für einen effektiven Rechtsschutz der Bürger
bekämpfen. Vor dem
                             ein. Die Justiz muss in allen Bereichen wieder schneller
Hintergrund der
steigenden Brutalität        und zuverlässiger arbeiten.
jugendlicher Krimineller
ist auf volljährige Täter
das Erwachsenenstraf-        Vor dem Hintergrund der steigenden Brutalität jugend-
recht anzuwenden und         licher Krimineller und der gravierenden Problematik
das Strafmündigkeitsalter
                             jugendlicher Intensivtäter halten wir es für wichtig und
auf zwölf Jahre zu
senken.                      zweckmäßig, auf volljährige Täter das Erwachsenenstraf-
                             recht anzuwenden und das Strafmündigkeitsalter auf zwölf
                             Jahre zu senken. Der Staat muss durch die konsequente
                             Bestrafung schwerer Delikte Signale der Warnung und
                             Prävention aussenden sowie den verloren gegangenen
                             Respekt bei diesen jugendlichen Serientätern wiederher-
                             stellen.

                             Wir sind dafür, das Anordnen der Untersuchungshaft
                             schon dann möglich zu machen, wenn der dringende Tat-
",48
"                           Innere Sicherheit und Justiz      49




verdacht eines Verbrechens im Sinne des § 12 Abs. 1 StGB
besteht.

Die Strafjustiz hat derzeit mit einer Strafprozessordnung
zu arbeiten, die noch aus dem 19. Jahrhundert stammt.
Sie ist personell zu stärken, die Verfahren sind durch
geeignete Verfahrensmaßnahmen zu beschleunigen, doch
dabei sind selbstverständlich die verfassungsrechtlichen
Anforderungen an ein faires Verfahren zu wahren. Die
Möglichkeiten des Strafbefehlsverfahrens sind ebenso wie
die des beschleunigten Strafverfahrens zu verbessern. Das
Rechtsmittelsystem ist so zu gestalten, dass zügigere Ent-
scheidungen möglich werden, indem insbesondere Urteil-
saufhebungen und Zurückweisungen zur Neuverhandlung
abgeschafft werden.

3.2 Weisungsfreie Staatsanwälte,
unabhängige Richter und parteiferne
Rechnungshöfe

Die AfD will die Einflussnahme der politischen Parteien
auf das Ernennen von Richtern und Staatsanwälten be-
enden und für die Zukunft ausschließen. Auch wollen wir
die Praxis ändern, dass die Staatsanwaltschaft weisungs-
gebunden und im Einzelfall dem Justizminister berichts-
pflichtig ist. Die Unabhängigkeit der dritten Gewalt muss
durch eine Selbstverwaltung der Justiz ausgebaut werden,
wie es in vielen anderen europäischen Ländern bereits
üblich ist. Wir unterstützen daher den Modellvorschlag des
Deutschen Richterbundes, einen Justizwahlausschuss und
einen Justizverwaltungsrat einzurichten. Insbesondere die
Verfassungsgerichte und Rechnungshöfe sind vor partei-
politischer Einwirkung zu schützen.
",49
"50   Innere Sicherheit und Justiz




     3.3 Angriffe auf Amtspersonen härter bestrafen

     Der immer mehr um sich greifenden Aggressivität gegen
     Amtspersonen im weiteren Sinne (Polizeibeamte, Feuer-
     wehrangehörige und sonstige Rettungskräfte) ist dadurch
     zu begegnen, dass tätliche Angriffe auf diesen Personen-
     kreis mit einer Freiheitsstrafe von mindestens drei Mona-
     ten zu ahnden sind. Hierzu sehen wir auch einen neuen
     Straftatbestand als erforderlich an, der Polizisten auch
     dann vor Angriffen besonders schützt, wenn diese Angriffe
     anlasslos erfolgen.

     3.4 Opferschutz statt Täterschutz

     Statt den Täterschutz immer weiter ausufern zu lassen,
     wollen wir den Fokus wieder darauf richten, den Opfer-
     schutz sachorientiert zu verbessern.
     Nicht therapierbare alkohol- und drogenabhängige sowie
     psychisch kranke Täter, von denen erhebliche Gefahren für
     die Allgemeinheit ausgehen, sind nicht in psychiatrischen
     Krankenhäusern, sondern in der Sicherungsverwahrung
     unterzubringen.

     Lockerungen und Urlaube im Strafvollzug dürfen nur mit
     Zustimmung der Staatsanwaltschaft möglich sein.Der
     erhebliche Anteil von Ausländern gerade im Bereich der
     Gewalt- und Drogenkriminalität begegnet derzeit nur halb-
     herzigen ausländerrechtlichen Maßnahmen, insbesondere
     können sich ausländische Kriminelle sehr häufig auf Ab-
     schiebungshindernisse berufen und sind auf diese Weise
     vor Abschiebung sicher. Die Ausweisungsvoraussetzungen
     sind herabzusetzen und das Ausweisungsverfahren ist zu
     straffen, indem die Strafgerichte die Ausweisung von Kri-
",50
"                          Innere Sicherheit und Justiz      51




                                                            Ausländische Straftäter
minellen schon zugleich mit dem Strafurteil aussprechen.
                                                            müssen viel schneller als
Ferner sind gesetzliche Abschiebungshindernisse zu ent-     bisher abgeschoben
schärfen. Außerdem sind durch Vereinbarung mit aus-         werden.

ländischen Staaten Aufnahmekapazitäten für sonst nicht
abschiebbare Personen außerhalb Deutschlands zu schaf-
fen, ggf. muss für gefährliche Kriminelle Sicherungshaft
verhängt werden können. Wir fordern, die Einbürgerung
Krimineller zuverlässig zu verhindern, den Anspruch auf
Einbürgerung abzuschaffen, den früheren Status Quo des
Abstammungsprinzips (galt bis 2000) wieder einzuführen
sowie den Verlust der Staatsbürgerschaft bei bestimmten
Tatbeständen im Rahmen geltenden Rechts zu forcieren.

3.5 Waffenrecht muss nicht verschärft werden

Ein liberaler Rechtsstaat muss seinen Bürgern vertrauen.
Er muss es nicht nur ertragen können, dass Bürger legal
Waffen erwerben und besitzen, sondern muss die Hand-
lungsfreiheit seiner Bürger bewahren und freiheitsbe-
schränkende Eingriffe minimieren.

Die AfD widersetzt sich jeder Einschränkung von Bür-
gerrechten durch ein Verschärfen des Waffenrechts. Die
Kriminalisierung von Waffenbesitz schreckt Täter nicht
ab, sondern macht Opfer wehrloser. Eine Verschärfung
des Waffenrechts wird nicht verhindern, dass Terroristen
und andere Verbrecher illegal Waffen erwerben, mit ihnen
handeln und sie nutzen. Ein strengeres Waffenrecht wäre
ein weiterer Schritt in die Kriminalisierung unbescholte-
ner Bürger und in den umfassenden Überwachungs- und
Bevormundungsstaat.
",51
"52   Programm für Deutschland




     3.6 Kein Datenschutz für Täter

     Das Recht auf informationelle Selbstbestimmung ist für
     uns ein wichtiges Gut. Die Grundsätze des Datenschutzes
     müssen gewährleistet werden. Gleichwohl ist zu überprü-
     fen, ob die Sicherheit der Bürger sowie von Wirtschaft
     und Industrie vor Spionage bei dieser Frage angemessen
     berücksichtigt wird. Im Zweifel ist das Recht der Bürger
     auf Sicherheit höher zu bewerten als das eines Straftäters
     auf informationelle Selbstbestimmung. Bei der Imple-
     mentierung von Datenschutzmaßnahmen ist immer der
     Mehraufwand für die Ermittlungspersonen und die Justiz
     zu berücksichtigen und sinnvoll abzuwägen. Ziel muss es
     sein, die Lebensbedingungen für die Mehrheit der Bürger
     zu verbessern. In der Vergangenheit hat ein ideologisch
     motiviertes übertriebenes Maß an Datenschutzmaßnah-
     men die Sicherheitsbehörden gelähmt und unverhältnis-
     mäßig bürokratisiert. Die Folge ist mangelnde Sicherheit
     für rechtschaffene Bürger und Datenschutz für Täter. Die
     Grundsätze des Zeugnisverweigerungsrechtes aus berufli-
     chen und persönlichen Gründen bleiben unberührt.

     3.7 Organisierte Kriminalität nachhaltig
     bekämpfen

     Die organisierte Kriminalität (OK) muss nachhaltiger
     bekämpft werden. Dazu gehört, Gewinne aus Straftaten
     besser abzuschöpfen und folgerichtig die bereits bestehen-
     den rechtlichen Instrumente des Verfalls und der Einzie-
     hung besser zu nutzen. Die Mehrzahl der Täter im Bereich
     der organisierten Kriminalität sind Ausländer. Sie auszu-
     weisen, muss vereinfacht werden. Deshalb ist für diesen
",52
"                           Innere Sicherheit und Justiz       53




Personenkreis bei entsprechendem Verdacht die OK-Zuge-
hörigkeit als Ausweisungsgrund einzuführen.

3.8 Zivil- und Fachgerichte
sind ein Standortfaktor

Eine leistungsfähige Justiz im Zivil- und Arbeitsrecht wie
auch sonst in der Fachgerichtsbarkeit (z.B. Verwaltungs-
und Finanzgerichtsbarkeit) stellt einen wichtigen Stand-
ortvorteil für die Entscheidungen der Privatwirtschaft dar.
Zügig und effizient hergestellte Rechtssicherheit macht
Deutschland als Wirtschaftsstandort attraktiv. Bessere per-
sonelle wie sachliche Ausstattung der Gerichte ist hierfür
unverzichtbar und daher zu stärken. Die AfD fordert, das
Rückwirkungsverbot einzuhalten und wendet sich konse-
quent gegen echte und unechte Rückwirkung.

3.9 Deutsche Grenzen schützen

Die Alternative für Deutschland betrachtet den bloßen         An Deutschlands
Schutz der europäischen Außengrenzen als unzureichend         Außengrenzen sollen
                                                              wieder betriebsbereite
und fordert den Aufbau eines flächendeckenden deutschen       Grenzübergangsstellen
Grenzschutzes unter dem Dach der Bundespolizei. An            bereitstehen.

Deutschlands Außengrenzen sollen wieder betriebsbereite
Grenzübergangsstellen bereitstehen, die je nach Gefähr-
dungslage jederzeit in Betrieb genommen werden können.
Zum Schutz der grünen Grenze sollen nach österreichi-
schem Vorbild Bundeswehrangehörige herangezogen
werden können, sowie gegebenenfalls Schutzzäune oder
ähnliche Barrieren errichtet werden.
",53
,54
"KAPITEL 4




Außen- und
Sicherheitspolitik
",55
"56   Außen- und Sicherheitspolitik




     AUSSEN- UND
     SICHERHEITSPOLITIK

     Die Bundesrepublik verfolgt eine orientierungslose An-
     passungspolitik. Dies führt dazu, dass zunehmend andere
     Staaten und Institutionen die deutsche Außen- und Sicher-
     heitspolitik beeinflussen und steuern. Sicherheitspolitische
     Entscheidungs- und Handlungsfähigkeit in Deutschland
     und Europa sind erodiert. Deswegen ist Deutschland
     zunehmend auf den Schutz und die Unterstützung von
     Bündnispartnern, besonders der USA, angewiesen und
     kann eigene Interessen nicht angemessen vertreten.
",56
"                         Außen- und Sicherheitspolitik      57




Die AfD tritt deshalb dafür ein, zur deutschen Außen- und
Sicherheitspolitik eine langfristige ressortübergreifende
Gesamtstrategie zu erarbeiten und umzusetzen. Dabei
müssen die nationalen Interessen und das Wohl des deut-
schen Volkes im Mittelpunkt stehen.

Als eine der großen Wirtschaftsnationen liegt es im deut-
schen Interesse, zu allen Staaten gute Beziehungen zu
entwickeln und zu pflegen. In internationalen Bündnissen
und Organisationen mitzuwirken, ist ein Grundpfeiler
deutscher Außen- und Sicherheitspolitik. Diese Zusam-
menarbeit wird durch zwischenstaatliche Kooperationen
ergänzt.
",57
"58   Außen- und Sicherheitspolitik




     4.1 Vereinte Nationen reformieren

     Die Vereinten Nationen sind für Fragen der Sicherheit
     und des Friedens in der Welt unverzichtbar. Die AfD setzt
     sich dafür ein, dass Deutschland als aktives Mitglied der
     Vereinten Nationen beim Lösen und Bewältigen internati-
     onaler Konflikte eine aktive und konstruktive Rolle spielt.
     Ziel muss es sein, internationale Krisenherde diplomatisch
     zu entschärfen, um humanitäre Katastrophen und den
     Verlust der Heimat von Bevölkerungsgruppen zu vermei-
     den, auch um unkontrollierten Wanderungsbewegungen
     in Richtung Europa entgegenzuwirken. Wir treten dafür
     ein, sich in innere Angelegenheiten anderer Staaten nicht
     einzumischen. Organisationen und international agierende
     Konzerne, die Einfluss auf die Innenpolitik anderer Länder
     oder deren Eliten zu nehmen versuchen, um ihre politi-
     schen oder wirtschaftlichen Interessen durchzusetzen, sind
     darin zu beschränken.

     Die AfD ist dafür, die Vereinten Nationen, einschließlich
     des Sicherheitsrates, zu stärken und zu reformieren. Den
     veränderten Gewichtungen in der Welt sollte Rechnung
     getragen werden. Als eine weltweit anerkannte Nation
     und als drittgrößter Beitragszahler der UN fordern wir für
     Deutschland einen ständigen Sitz im UN-Sicherheitsrat.
     Aufgrund des Völkergewohnheitsrechts und in Überein-
     kunft mit den früheren Siegermächten haben sich die
     Grundzüge der Feindstaatenklausel grundlegend gewan-
     delt. Es bleibt die Aufgabe, diese nun endgültig zu strei-
     chen.

     Die AfD bejaht eine Fürsorgepflicht Deutschlands für die
     im Ausland lebenden deutschen Minderheiten.
",58
"                         Außen- und Sicherheitspolitik         59




4.2 Nato als Verteidigungsbündnis

Die Mitgliedschaft in der Nato entspricht den außen- und
sicherheitspolitischen Interessen Deutschlands, soweit
sich die Nato auf ihre Aufgabe als Verteidigungsbündnis
beschränkt. Wir setzen uns dafür ein, den europäischen
Teil der atlantischen Allianz deutlich zu stärken. Um dieses
Ziel zu erreichen, ist es unabdingbar, die militärischen
Fähigkeiten der deutschen Streitkräfte wiederherzustellen,
um Anschluss an die strategischen und operativen Erfor-
dernisse zu finden. Diese von der AfD geforderte Wie-
derherstellung soll nicht nur die Landesverteidigung als
zentrale Aufgabe der Bundeswehr sicherstellen, sondern
die deutschen Streitkräfte auch in erforderlichem Maß zur
Bündnisverteidigung und Krisenvorsorge befähigen.

Die AfD sieht im Bestreben, Verpflichtungen gegenüber          Die Mitgliedschaft in
                                                               der Nato entspricht den
den Nato-Bündnispartnern berechenbar zu erfüllen, eine
                                                               außen- und sicherheits-
wichtige Aufgabe deutscher Außen- und Sicherheitspolitik,      politischen Interessen
um auf diesem Weg mehr Gestaltungsmacht und Einfluss           Deutschlands, soweit sich
                                                               die Nato auf ihre
zu entfalten. Wir treten dafür ein, dass jedes Engagement      Aufgabe als
in der Nato im Einklang mit den deutschen Interessen           Verteidigungsbündnis
                                                               beschränkt.
steht und einer zielgerichteten Strategie entspricht. Die
Nato muss so reformiert werden, und die Streitkräfte der
europäischen Partnerstaaten sind so zu restrukturieren,
dass sie die Sicherheit in Europa und an seiner Peripherie
gewährleisten können.

Nato-Einsätze außerhalb des Bündnisbereichs, an der sich
deutsche Streitkräfte beteiligen, sollten grundsätzlich un-
ter einem UN-Mandat stattfinden und nur, wenn deutsche
Sicherheitsinteressen berücksichtigt werden.
",59
"60   Außen- und Sicherheitspolitik




     Die Bündnispartner und Deutschland arbeiten gleichbe-
     rechtigt und in gegenseitigem Respekt zusammen und
     stimmen sich in wichtigen internationalen Fragen ab.
     Vor diesem Hintergrund steht 70 Jahre nach dem Ende
     des Zweiten Weltkrieges und 25 Jahre nach der Beendi-
     gung der Teilung Europas die Neuverhandlung des Status
     alliierter Truppen in Deutschland auf der Tagesordnung.
     Dieser muss an die wiedergewonnene deutsche Souverä-
     nität angepasst werden. Die AfD setzt sich für den Abzug
     aller auf deutschem Boden stationierten alliierten Truppen
     und insbesondere ihrer Atomwaffen ein.

     4.3 OSZE und europäische Sicherheitsstruktur

     Ein unverzichtbares Instrument der europäischen Frieden-
     sordnung ist die OSZE. Ihre Rolle in europäischen Kon-
     flikten wollen wir gestärkt und ausgebaut sehen. Ziel ist es,
     Krisenregionen zu stabilisieren.

     Das Verhältnis zu Russland ist für Deutschland, Europa
     und die Nato von maßgeblicher Bedeutung, denn Sicher-
     heit in und für Europa kann ohne Russlands Einbindung
     nicht gelingen. Wir setzen uns daher dafür ein, Konflikte in
     Europa friedlich zu regeln und dabei die jeweiligen Inter-
     essen zu berücksichtigen.

     Die AfD vertritt eine Außenpolitik, die darauf verpflichtet
     ist, die außen- und sicherheitspolitischen, die wirtschaftli-
     chen und kulturellen Interessen Deutschlands zu wahren.
     Wir sind für die Freiheit der Handelswege, der internati-
     onalen Kommunikation (wie die des Internets), für den
     Schutz der natürlichen Lebensgrundlagen und für die
     gleichberechtigte, faire Nutzung der globalen Ressourcen.
",60
"                         Außen- und Sicherheitspolitik       61




4.4 Bundeswehr stärken

Die deutschen Streitkräfte sind derzeit nur noch bedingt
einsatzbereit. Durch politische Fehlentscheidungen und
grobes Missmanagement wurden sie über nahezu drei
Dekaden hinweg vernachlässigt. Sie müssen in vollem
Umfang wieder in die Lage versetzt werden, ihre Aufgaben
wirkungsvoll und nachhaltig zu erfüllen.

Dies ist die Voraussetzung dafür, dass Nato, EU und inter-
nationale Staatengemeinschaft Deutschland als gleichbe-
rechtigten Partner wahrnehmen.

4.4.1 Keine europäische Armee

Gemeinsame europäische Streitkräfte lehnt die AfD ab         Gemeinsame
                                                             europäische
und hält an einer umfassend befähigten Bundeswehr als
                                                             Streitkräfte lehnt die AfD
Eckpfeiler deutscher Souveränität fest. Dies schließt eine   ab und hält an einer
ständige Kooperation deutscher Streitkräfte mit denen der    umfassend befähigten
                                                             Bundeswehr als
Bündnispartner ein.                                          Eckpfeiler deutscher
                                                             Souveränität fest.

Im Ergebnis benötigt Deutschland Streitkräfte, deren
Führung, Stärke und Ausrüstung an den Herausforde-
rungen künftiger Konflikte orientiert sind und höchsten
internationalen Standards entsprechen, die gründlich und
an den modernen Einsatzerfordernissen orientiert ausge-
bildet werden und die eine am Wohl der Truppe orientierte
Verwaltung mit deutlich reduzierter Bürokratie vorhalten.

Eng damit verbunden sind unverzichtbare nationale
wehrtechnische Fähigkeiten, um in Schlüsseltechnologien
national unabhängig zu bleiben, mit der Weltspitze Schritt
zu halten und Arbeitsplätze in Deutschland zu sichern.
",61
"                62         Außen- und Sicherheitspolitik




                           Sicherheit und Freiheit Deutschlands und seiner Verbün-
                           deten sind im Finanzhaushalt mehr als heute angemessen
                           zu berücksichtigen. Umfang und Ausrüstung der Streit-
                           kräfte müssen sich nach deren Aufgaben und den außen-
                           und sicherheitspolitischen Erfordernissen richten.

                           Ebenfalls geboten ist, die Nachrichtendienste umfangreich
                           zu reorganisieren und zu reformieren. Sie sind ein wichti-
                           ges Mittel, Gefahren im In- und Ausland zu erkennen und
                           abzuwehren. Die bisher praktizierte Finanzierung nach
                           Kassenlage lehnt die AfD ab.

                           4.4.2 Wehrpflicht wieder einsetzen

Die AfD tritt dafür ein,   Art. 87a des Grundgesetzes bestimmt: „Der Bund stellt
für alle männlichen        Streitkräfte zur Verteidigung auf.“ Die Landesverteidigung
deutschen Staatsbürger
im Alter zwischen 18       ist eine gesamtstaatliche Aufgabe. Sie betrifft den Kern
und 25 Jahren              staatlicher Existenz und unserer freiheitlich-demokrati-
den Grundwehrdienst
wieder einzusetzen.
                           schen Grundordnung. Daher ist der Auftrag der Bundes-
                           wehr Verpflichtung für jeden Staatsbürger. Wir erkennen
                           den Ausnahmefall des Rechts auf Kriegsdienstverweige-
                           rung aus Gewissensgründen an, sehen aber den Wehr-
                           dienst junger Männer aus allen gesellschaftlichen Schich-
                           ten in den Streitkräften als Regelfall an.

                           Durch die Rückkehr zur Allgemeinen Wehrpflicht schaffen
                           wir die Voraussetzungen dafür,

                              dass sich die Bevölkerung mit „ihren Soldaten”
                              und „ihrer Bundeswehr” identifiziert, mit
                           		 Streitkräften, die in der Bevölkerung fest
                           		verankert sind,
                              dass sich das Bewusstsein für die wehrhafte
                           		Demokratie wiederbelebt,
",62
"                         Außen- und Sicherheitspolitik         63




  dass nachhaltig Nachwuchs aus allen
		Gesellschaftsschichten gewonnen wird und damit
		eine intelligentere Armee möglich wird,
  dass ein breites Potential an
		Reservedienstleistenden entsteht.

Deshalb tritt die AfD dafür ein, für alle männlichen deut-
schen Staatsbürger im Alter zwischen 18 und 25 Jahren
den Grundwehrdienst wieder einzusetzen. Die Dauer des
Wehrdienstes richtet sich nach dem, was für die Sicher-
heit notwendig ist. Sie muss eine gründliche militärische
Ausbildung ermöglichen. Kriegsdienstverweigerer leisten
Wehrersatzdienst. Frauen sollen die Möglichkeit haben,
freiwillig in den Streitkräften zu dienen.

4.5 Entwicklungshilfe

Entwicklungshilfe sollte stets „Hilfe zur Selbsthilfe“ sein.
Hiervon zu trennen ist die humanitäre Hilfe, die sogenann-
ten Transfers. Es liegt im deutschen Interesse, wenn die
Menschen in Entwicklungsländern eine Perspektive für ein
menschenwürdiges Leben in ihrer Heimat erhalten. Die
Auswanderung von Menschen in wirtschaftlicher Not nach
Deutschland löst die Probleme vor Ort nicht.

Angesichts des riesigen Bedarfs an Unterstützung der
Entwicklungsländer einerseits und der Begrenztheit der
Mittel andererseits ist angezeigt, die Maßnahmen zu kon-
zentrieren. Nur solche Projekte sind zu unterstützen, die
das Empfängerland bzw. die einheimischen Unternehmen
nach Ablauf der Projektdauer ohne fremde Hilfe selbstän-
dig weiterführen können.
",63
"64   Außen- und Sicherheitspolitik




     Dabei muss die Hilfe zur Selbsthilfe die sicherheitspoli-
     tische und außenwirtschaftliche Interessenlage Deutsch-
     lands stärker als bisher berücksichtigen.

     Um die Entwicklungshilfe in die außenpolitische Ge-
     samtstrategie einzuordnen, soll sie zukünftig in das Aus-
     wärtige Amt eingegliedert werden. Die Entwicklungshil-
     fe-Organisationen in Deutschland (GIZ, KfW Kapitalhilfe,
     etc.) sind zu straffen und besser zu koordinieren.

     Vorrang in der Entwicklungshilfe haben Maßnahmen, die
     investiv und organisatorisch durch private Unternehmen
     vor Ort begleitet werden können.

     Fluchtursachen in den Herkunftsländern müssen be-
     kämpft werden, auch wenn dies für die westliche Wirt-
     schaft nachteilig ist.
",64
"Außen- und Sicherheitspolitik   65
",65
,66
"KAPITEL 5




Arbeitsmarkt
und Sozialpolitik
",67
"68   Arbeitsmarkt und Sozialpolitik




     ARBEITSMARKT UND
     SOZIALPOLITIK

     Die Arbeitswelt soll es allen Bürgern ermöglichen, ein
     selbstbestimmtes Leben in relativem Wohlstand zu führen.
     Weil dieser Anspruch mit den Zielen der Wirtschaft nicht
     unbedingt deckungsgleich ist, muss der Staat einen ange-
     messenen Ordnungsrahmen schaffen.

     Dieser Rahmen darf diejenigen nicht zu sehr einschrän-
     ken, die viel leisten können und wollen, und gleichzeitig
     diejenigen nicht aus dem Rahmen fallen lassen, die nicht
",68
"                        Arbeitsmarkt und Sozialpolitik        69




in der Lage sind, für sich selbst zu sorgen. Die politische
Gestaltung der Bedingungen des Erwerbslebens und aller
Systeme, die den Erwerbslosen ausreichende Existenz-
bedingungen gewährleisten, gehört daher zu den bedeu-
tungsvollsten Politikfeldern moderner Staatlichkeit.
",69
"             70            Arbeitsmarkt und Sozialpolitik




                           5.1 Arbeitsmarkt von unnötiger
                           Bürokratie befreien

                           Das geltende Arbeitsrecht ist in zahlreiche Einzelgesetze
                           aufgespalten, die durch Richterrecht zu einem System
                           zusammengefügt werden müssen. Dieser Zustand währt
                           seit vielen Jahren und ist mit Grundsätzen qualitätsvoller
                           Gesetzgebung nicht vereinbar. Zudem sind ungezählte Ein-
                           zelfragen Gegenstand einer unübersichtlichen und regional
                           unterschiedlichen Einzelfallrechtsprechung, welche eine
                           angemessene Berechenbarkeit der Rechtslage kaum mehr
                           möglich macht. Daher ist es dringend geboten, ein Ar-
                           beitsgesetzbuch zu schaffen, dass sowohl die Einzelgesetze
                           systematisch zusammenführt als auch der überbordenden
                           und uneinheitlichen Rechtsprechung ein Ende bereitet.

                           5.2 Bundesagentur für Arbeit
                           auflösen und kommunale Jobcenter aufwerten

Die AfD will die           Die AfD will die Bundesagentur für Arbeit auflösen und
Bundesagentur für
                           ihre Aufgaben vor allem auf kommunale Jobcenter über-
Arbeit auflösen und
ihre Aufgaben vor          tragen. Danach gibt es nur noch einen öffentlichen Dienst-
allem auf kommunale        leister am Arbeitsmarkt: das kommunale Jobcenter. Das
„Jobcenter“ übertra-
gen. Danach gibt es
                           entspricht einer flächendeckenden Ausdehnung des bereits
nur noch einen             praktizierten „Optionsmodells“ bei Leistungen nach dem
öffentlichen Dienstleis-
                           SGB II.
ter am Arbeitsmarkt:
das kommunale
„Jobcenter“.               Die Leistungen nach dem Bundeskindergeldgesetz soll
                           zweckmäßigerweise die Finanzverwaltung auszahlen.
                           Dabei handelt es sich ohnehin um eine steuerliche Fami-
                           lienförderung, die der Bundesagentur für Arbeit lediglich
                           gemäß § 368 Abs. 3 SGB II übertragen ist. Die kommunal
                           organisierten Jobcenter betreuen alle Empfänger von
",70
"                        Arbeitsmarkt und Sozialpolitik         71




öffentlichen Leistungen aus Anlass der eingetretenen
Arbeitslosigkeit. Daneben betreuen sie die Berufsanfänger.
Alle Anliegen bezogen auf „Arbeitslosigkeit und Lohner-
satzleistung“ werden durch eine Verwaltungsbehörde, das
kommunale Jobcenter, geklärt.

5.3 Mindestlohn beibehalten

Der gesetzliche Mindestlohn ist mit dem Wesen der
Sozialen Marktwirtschaft eng verbunden. Er korrigiert
im Bereich der Entlohnung die Position der Niedrigloh-
nempfänger als schwache Marktteilnehmer gegenüber
den Interessen der Arbeitgeber als vergleichsweise starke
Marktteilnehmer. Er schützt sie auch vor dem durch die
derzeitige Massenmigration zu erwartenden Lohndruck.
Insbesondere erlaubt der Mindestlohn eine Existenz jen-
seits der Armutsgrenze und die Finanzierung einer, wenn
auch bescheidenen, Altersversorgung, die ansonsten im
Wege staatlicher Unterstützung von der Gesellschaft zu
tragen wäre. Mindestlöhne verhindern somit die Privati-
sierung von Gewinnen bei gleichzeitiger Sozialisierung der
Kosten. Die Alternative für Deutschland befürwortet es
daher, den gesetzlichen Mindestlohn beizubehalten.

5.4 Reform der sozialen Sicherungssysteme

Leitbild für uns ist die Familie, für die wir in der Sozial-
versicherung Abgabengerechtigkeit wollen. Die AfD will
die Leistung von Eltern durch die Geburt, Versorgung und
Erziehung von Kindern nicht nur ideell, sondern auch
materiell anerkennen. Dazu hat das Bundesverfassungsge-
richt den Gesetzgeber bereits verbindlich aufgefordert. Wir
wollen die derzeitigen finanziellen Nachteile von Familien
mit Kindern gegenüber Kinderlosen korrigieren.
",71
